               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.025655,            0.009561,                   0,             0.82855,             0.76408,             0.81699,             0.43676,             0.03192,           0.0074223,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.026058,           0.0094389,                   0,             0.86081,              0.7448,             0.82221,             0.43467,            0.031868,           0.0075078,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.025138,           0.0094155,                   0,             0.84549,             0.74619,             0.81454,             0.44857,            0.031208,           0.0074024,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.025551,           0.0092765,                   0,             0.87196,              0.7375,             0.82268,              0.4495,            0.031984,           0.0075007,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.024551,            0.008958,                   0,             0.84203,             0.75513,              0.8232,             0.44122,            0.031788,           0.0075655,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.025621,           0.0093551,                   0,             0.83482,             0.75139,             0.81966,             0.45135,            0.032284,           0.0075116,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.025531,           0.0093316,                   0,             0.85402,             0.73889,             0.82669,             0.45574,            0.031506,           0.0075992,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.024423,           0.0096775,                   0,             0.79912,             0.77115,               0.815,             0.44374,            0.031344,           0.0075483,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.025598,           0.0094077,                   0,             0.87333,             0.74064,             0.83531,             0.45326,            0.030864,           0.0073545,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.025182,           0.0089107,                   0,             0.83691,             0.76156,             0.82407,             0.44735,            0.031196,           0.0075179,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.023861,            0.009449,                   0,             0.85689,             0.75139,             0.82677,             0.45558,            0.031055,            0.007329,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.025177,           0.0097701,                   0,             0.83482,             0.75417,             0.82143,             0.45484,            0.031338,            0.007488,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.024869,           0.0095934,                   0,              0.8259,              0.7656,             0.82565,             0.45275,            0.031839,           0.0075933,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.023274,           0.0089913,                   0,             0.85193,             0.74583,             0.81598,             0.44704,             0.03175,           0.0076034,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.024089,            0.008916,                   0,             0.84372,             0.74876,             0.82079,             0.44406,            0.031636,           0.0076358,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.023682,           0.0091103,                   0,             0.86922,             0.74666,             0.82866,             0.45467,            0.031908,           0.0076212,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.024665,           0.0089924,                   0,             0.83254,             0.75312,             0.81902,             0.44857,            0.031579,           0.0075902,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.024379,           0.0093713,                   0,             0.86941,             0.74797,             0.81737,             0.45023,            0.031346,           0.0074454,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.023489,           0.0093013,                   0,             0.84281,             0.76006,             0.82676,             0.44937,            0.031648,           0.0074836,                   0,            0.002872,            0.002872,            0.002872
                 110,             0.02236,           0.0086806,                   0,             0.84681,             0.74369,             0.82126,             0.45425,            0.031446,           0.0075245,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.023601,            0.009107,                   0,              0.8462,             0.74965,             0.82098,             0.44619,             0.03205,           0.0076497,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.024191,           0.0090835,                   0,             0.83807,             0.73194,             0.81523,             0.44864,            0.031744,           0.0077189,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.022852,           0.0091381,                   0,             0.83194,             0.75556,             0.82146,             0.45424,            0.031436,            0.007611,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.023151,           0.0090475,                   0,             0.83918,             0.74341,             0.80919,             0.44466,            0.032429,           0.0074627,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.022628,           0.0090753,                   0,             0.85774,             0.75261,              0.8285,             0.45525,            0.032018,           0.0075353,                   0,            0.002476,            0.002476,            0.002476
